ato,data_ato,data_dou,vigencia,tem_texto,arquivo
,,,,nao,ato_2025_31.pdf
,,,,nao,ato_2026_01.pdf
,,,,nao,ato_2026_02.pdf
,,,,nao,ato_2026_03.pdf
,,,,nao,ato_2026_04.pdf
,,,,nao,ato_2026_05.pdf
,,,,nao,ato_2026_20.pdf
6,2026-03-09,2026-03-10,2026-03-16,sim,ato_2026_06.pdf
7,2026-03-24,2026-03-25,2026-04-01,sim,ato_2026_07.pdf
8,2026-03-25,2026-03-26,,sim,ato_2026_08.pdf
9,2026-04-09,2026-04-10,2026-04-16,sim,ato_2026_09.pdf
10,2026-04-10,2026-04-13,,sim,ato_2026_10.pdf
11,2026-04-13,2026-04-14,,sim,ato_2026_11.pdf
12,2026-04-23,2026-04-24,2026-05-01,sim,ato_2026_12.pdf
13,2026-05-07,2026-05-08,2026-05-16,sim,ato_2026_13.pdf
14,2026-05-22,2026-05-25,2026-06-01,sim,ato_2026_14.pdf
15,2026-05-26,2026-05-27,,sim,ato_2026_15.pdf
16,2026-06-09,2026-06-10,,sim,ato_2026_16.pdf
17,2026-06-09,2026-06-10,2026-06-16,sim,ato_2026_17.pdf
18,2026-06-24,2026-06-25,2026-07-01,sim,ato_2026_18.pdf
19,2026-07-09,2026-07-10,2026-07-16,sim,ato_2026_19.pdf
21,2026-07-24,2026-07-27,,sim,ato_2026_21.pdf
