vigencia,ato,ano_ato,item,UF,QAV,AEHC,GNV,GNI,OLEO_LITRO,OLEO_KG,fonte_dou
2026-01-01,31,2025,1,AC,-,"5,1774",-,-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,2,AL,"3,4910","5,1768","4,6642",-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,3,AM,-,"*5,4423","**2,9248","*1,7882",-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,4,AP,-,"*5,7900",-,-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,5,BA,-,"4,5900","3,6940",-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,6,CE,-,"5,1091","5,1334",-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,7,DF,-,"*4,8000","6,7800",-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,8,ES,-,"*4,5667","**4,1607",-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,9,GO,-,"*4,6525",-,-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,10,MA,-,"*4,6900",-,-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,11,MG,"*5,5204","*4,4711","**4,8983",-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,12,MS,"*4,5294","*4,1574","**4,5614",-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,13,MT,"6,4170","*4,3835","4,0497","3,6700",-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,14,PA,-,"4,8124",-,-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,15,PB,"*4,3472","**4,1440","**4,9255",-,"4,9389","4,9389",DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,16,PE,-,"*4,4800",-,-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,17,PI,"5,6800","4,6400",-,-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,18,PR,-,"4,3006","4,7805",-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,19,RJ,"2,4456","*4,6400","*4,3300",-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,20,RN,-,"4,4500","5,0400",-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,21,RO,-,"5,0870",-,-,"4,0864",-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,22,RR,"6,8560","5,1850",-,-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,23,RS,-,"*4,6644","**4,8683",-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,24,SC,-,"*4,6855","*4,9120",-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,25,SE,"*4,5990","*4,8260","4,6820",-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,26,SP,-,"*4,2100",-,-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-01,31,2025,27,TO,"**6,4500","*4,8200",-,-,-,-,DOU 24/12/2025 ed.245 s.1 p.834
2026-01-16,1,2026,1,AC,-,"5,1774",-,-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,2,AL,"3,4910","**5,1608","**4,5662",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,3,AM,-,"*5,4442","2,9248","1,7882",-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,4,AP,-,"5,7900",-,-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,5,BA,-,"4,5900","3,6940",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,6,CE,-,"5,1091","5,1334",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,7,DF,-,"*4,9100","6,7800",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,8,ES,-,"*4,6178","*4,1714",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,9,GO,-,"4,6525",-,-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,10,MA,-,"**4,6600",-,-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,11,MG,"5,5204","4,4711","4,8983",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,12,MS,"4,5294","4,1574","4,5614",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,13,MT,"6,4170","4,3835","4,0497","3,6700",-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,14,PA,-,"4,8124",-,-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,15,PB,"**4,3294","*4,2354","*4,9319",-,"4,9389","4,9389",DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,16,PE,-,"4,4800",-,-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,17,PI,"5,6800","4,6400",-,-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,18,PR,-,"4,3006","4,7805",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,19,RJ,"2,4456","*4,6900","*4,4000",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,20,RN,-,"4,4500","5,0400",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,21,RO,-,"5,0870",-,-,"4,0864",-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,22,RR,"6,8560","5,1850",-,-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,23,RS,-,"4,6644","4,8683",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,24,SC,-,"4,6855","4,9120",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,25,SE,"4,5990","4,8260","4,6820",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,26,SP,-,"4,2100",-,-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,27,TO,"6,4500","4,8200",-,-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-02-01,2,2026,1,AC,-,"*5,2254",-,-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,2,AL,"3,4910","**5,1155","*4,5764",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,3,AM,-,"**5,4413","*3,1594","**1,7773",-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,4,AP,-,"5,7900",-,-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,5,BA,-,"4,5900","3,6940",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,6,CE,-,"**4,9850","5,1334",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,7,DF,-,"*4,9400","6,7800",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,8,ES,-,"*4,7358","*4,1765",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,9,GO,-,"*4,7342",-,-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,10,MA,-,"*4,7600",-,-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,11,MG,"**5,1154","*4,6965","4,8983",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,12,MS,"**4,4294","*4,2920","**4,5111",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,13,MT,"6,4170","4,3835","4,0497","3,6700",-,-,DOU 23/01/2026 ed.16 s.1 p.25
